"city_code","wages_less0.25","wages_0.25to0.5","wages_0.5to1","wages_1to2","wages_2to3","wages_3to5","wages_5to10","wages_10to15","wages_15to20","wages_20to30","wages_30plus","wages_noWage","wages_avg"
1300102,7.91,10.65,20.91,7.84,1.62,1.11,0.72,0.15,0.07,0.02,0.02,48.99,0.5150375
1300144,4.16,4.37,19.83,14.71,3.09,2.18,1.1,0.12,0.07,0.02,0.08,50.26,0.6993625
1300201,5.54,3.64,14.94,5.87,1.75,1.19,0.55,0.09,0.03,0.01,0.02,66.38,0.3852
1300300,5.88,8.52,21.35,7.79,1.77,1.47,0.73,0.11,0.08,0.02,0.05,52.25,0.529175
1300409,3.67,3.82,13.25,7.35,1.62,1.13,0.89,0.1,0.11,0.03,0.02,68.02,0.430825
1300508,10.1,11.54,16.99,5.16,1.26,0.88,0.41,0.06,0.06,0.01,0.01,53.53,0.3943
1300607,7.05,7.37,20.34,7.44,1.37,1.22,0.77,0.07,0.05,0.04,0.03,54.25,0.4867125
1300631,6.86,7.25,16.91,6.58,1.91,1.31,0.84,0.08,0.13,0.06,0,58.07,0.4807625
1300680,5.92,7.96,16.55,6.16,1.28,1.1,0.56,0.08,0.03,0.01,0.01,60.35,0.399925
1300706,6.08,7.21,21.9,8.82,1.71,1.65,0.98,0.09,0.08,0.04,0.03,51.43,0.5652875
1300805,7.64,6.72,15.92,6.24,1.24,1,0.61,0.07,0.06,0.04,0.04,60.43,0.4153
1300839,4,5.76,21.33,7.65,1.83,1.59,0.85,0.07,0.13,0.01,0.01,56.76,0.516425
1300904,4.65,5.33,18.05,7.27,1.49,1.28,0.78,0.09,0.04,0.04,0.02,60.96,0.4572375
1301001,9.33,8.45,17.5,9.22,1.73,1.4,0.71,0.12,0.07,0.05,0.03,51.4,0.5258125
1301100,6.15,6.68,18.96,7.74,2.19,0.99,0.53,0.01,0.02,0.03,0.01,56.69,0.448075
1301159,5.7,7.97,21.56,8.42,1.54,0.98,0.36,0.05,0.02,0,0.01,53.39,0.4495875
1301209,3.44,4.74,19.37,10.21,2.45,2.02,1.16,0.16,0.11,0.07,0.06,56.22,0.6286
1301308,6.93,10.42,20.2,6.46,1.65,1.29,0.71,0.05,0.09,0.03,0.03,52.15,0.4894
1301407,8.72,7.85,18.88,6.72,1.59,1.41,0.76,0.13,0.1,0.04,0.06,53.75,0.5085375
1301506,7.62,8.8,18.28,5.94,1.09,1.33,0.6,0.09,0.03,0,0.03,56.19,0.4292
1301605,6.13,8.16,16.23,6.59,1.39,1.15,0.68,0.11,0.07,0.03,0.02,59.44,0.43775
1301654,5.37,4.7,16.16,7.9,1.2,1.22,0.56,0.06,0.04,0.06,0.01,62.71,0.42405
1301704,3.74,4.8,22.33,9.22,2.52,2.21,1.46,0.18,0.13,0.04,0.07,53.31,0.670275
1301803,6.1,6.37,18.02,5.5,0.86,0.81,0.44,0.05,0.05,0.02,0.02,61.76,0.3696875
1301852,4.23,4.87,24.97,11.06,2.67,2.05,0.98,0.07,0.07,0.05,0.06,48.93,0.6557625
1301902,5.87,6.31,23.79,10.32,2.83,2.4,1.38,0.13,0.13,0.05,0.06,46.74,0.7113125
1301951,5.77,5.34,12.08,5.22,1.13,0.73,0.4,0.02,0.03,0,0.05,69.24,0.31355
1302009,6.15,6.57,21.07,9.04,2.31,1.59,1.23,0.16,0.22,0.05,0.06,51.55,0.6362375
1302108,2.1,5.88,17.91,10.57,1.89,1.37,0.6,0.07,0.04,0,0.04,59.54,0.494975
1302207,5.7,7.77,17.81,7.1,1.73,1.56,0.57,0.09,0.06,0.05,0.04,57.53,0.4781125
1302306,8.1,10.35,16.59,5.99,1.79,1.11,0.48,0.09,0.08,0.02,0.05,55.37,0.4437375
1302405,7.72,8.07,19.06,6.91,1.49,1.12,0.68,0.05,0.05,0.03,0.03,54.77,0.4607125
1302504,5.97,5.91,23.44,9.86,2.62,2.22,1.17,0.14,0.11,0.04,0.04,48.49,0.6615875
1302553,8.64,9.13,23.02,7.8,1.7,0.87,0.52,0.05,0.03,0.04,0.01,48.2,0.4862875
1302603,1.17,1.84,19,18.74,5.99,4.75,3.49,0.62,0.55,0.28,0.18,43.39,1.332675
1302702,5.4,7.62,20.15,9.16,2.24,1.91,0.75,0.06,0.11,0.04,0.04,52.51,0.568
1302801,5.45,4.97,18.07,6.87,1.23,0.8,0.44,0.03,0.08,0.02,0.04,61.99,0.4013375
1302900,10.47,9.42,19.84,7.05,1.51,1.17,0.77,0.12,0.04,0.02,0.05,49.54,0.50035
1303007,8.43,9.28,17.85,5.1,0.95,0.84,0.55,0.08,0.06,0.04,0.01,56.82,0.39835
1303106,6.32,8.37,18.67,7.33,1.46,0.93,0.49,0.07,0.05,0.02,0.09,56.2,0.4571125
1303205,4.85,5.84,21.06,9.77,2.08,1.57,0.94,0.16,0.06,0.04,0.02,53.61,0.570325
1303304,5.64,7.93,20.13,8.08,1.67,1.24,0.5,0.1,0.06,0.04,0.03,54.58,0.4868625
1303403,8.68,9.31,24.77,7.71,2.24,1.99,1.12,0.19,0.12,0.07,0.04,43.76,0.6518875
1303502,6.38,7.11,16.31,7.04,1.21,1.08,0.53,0.08,0.02,0.02,0.04,60.17,0.4142375
1303536,2.22,3.94,21.62,14.06,4.66,3.69,1.59,0.27,0.16,0.1,0.04,47.64,0.875475
